Unnamed: 0,Code,Mean_ann_earnings,median_age_2018,Name,2018 people per sq. km,deaths,lat,lon
276,E07000216,44350.0,44.6,Waverley,364,25,51.158323,-0.6233216
277,E07000217,35379.0,40.8,Woking,1591,13,51.3201891,-0.5564726
124,E07000218,28676.0,45.6,North Warwickshire,228,19,52.561361,-1.6296344
125,E07000219,25406.0,41.4,Nuneaton and Bedworth,1633,45,52.5010313,-1.4677392
126,E07000220,31943.0,41.3,Rugby,305,15,52.3726682,-1.2620038
127,E07000221,34261.0,48.1,Stratford-on-Avon,130,28,52.161709,-1.6358077
128,E07000222,36839.0,39.8,Warwick,504,29,52.2814519,-1.5815742
278,E07000223,26670.0,45.5,Adur,1523,4,50.8453169,-0.2939887
279,E07000224,27380.0,49.4,Arun,723,14,50.8312375,-0.5667059
280,E07000225,29877.0,48.9,Chichester,154,22,50.8446771,-0.7831144
281,E07000226,27167.0,37.2,Crawley,2500,21,51.1103444,-0.1801094
282,E07000227,35637.0,46.1,Horsham,268,26,51.0630273,-0.3295028
283,E07000228,36282.0,43.7,Mid Sussex,448,41,51.0053398,-0.1273113
284,E07000229,30228.0,44.8,Worthing,3383,9,50.8115402,-0.3699697
136,E07000234,32175.0,45.5,Bromsgrove,455,37,52.3390519,-2.0532018
137,E07000235,26325.0,50.5,Malvern Hills,135,14,52.1675343,-2.3311425
138,E07000236,23406.0,40.1,Redditch,1567,17,52.3057655,-1.9417444
139,E07000237,26961.0,38.3,Worcester,3062,13,52.1911849,-2.2206585
140,E07000238,28504.0,48.0,Wychavon,192,31,52.1803417,-2.0623137
141,E07000239,25626.0,46.5,Wyre Forest,517,32,52.3850592,-2.2347966
170,E07000240,52906.0,40.9,St Albans,914,36,51.7492956,-0.3422526
174,E07000241,31020.0,35.4,Welwyn Hatfield,948,39,51.7731055,-0.2095171
167,E07000242,45546.0,42.6,East Hertfordshire,311,34,51.8656789,0.012485
171,E07000243,29805.0,38.1,Stevenage,3379,4,51.9035099,-0.2013368
24,E08000001,24501.0,38.8,Bolton,2041,62,53.5782863,-2.4300367
25,E08000002,27123.0,40.4,Bury,1911,51,52.2460367,0.7125173
26,E08000003,25239.0,30.0,Manchester,4735,106,53.4794892,-2.2451148
27,E08000004,23601.0,37.1,Oldham,1655,75,53.5415797,-2.1147831
28,E08000005,24755.0,38.1,Rochdale,1391,71,53.6153659,-2.1557561
29,E08000006,24908.0,35.0,Salford,2617,137,53.4877463,-2.2891921
30,E08000007,30372.0,42.5,Stockport,2315,100,53.407901,-2.160243
31,E08000008,23571.0,40.2,Tameside,2183,75,53.4786454,-2.0770212
32,E08000009,36338.0,40.6,Trafford,2229,46,53.418936,-2.3592972
33,E08000010,25597.0,42.2,Wigan,1733,52,53.5457188,-2.6264624
46,E08000011,25101.0,39.6,Knowsley,1729,24,53.4552358,-2.8546852
47,E08000012,25557.0,34.7,Liverpool,4424,213,53.4071991,-2.99168
48,E08000013,25877.0,43.0,St. Helens,1320,35,53.4535471,-2.7343231
49,E08000014,25897.0,46.4,Sefton,1777,89,53.5034122,-2.9714708
50,E08000015,26766.0,44.3,Wirral,2058,116,53.3409714,-3.0500916
63,E08000016,25394.0,42.5,Barnsley,745,55,53.5527719,-1.4827755
64,E08000017,24590.0,41.3,Doncaster,547,35,53.5227681,-1.1335312
65,E08000018,24152.0,42.1,Rotherham,924,55,53.4310417,-1.355187
66,E08000019,25706.0,35.4,Sheffield,1583,115,53.3806626,-1.4702278
8,E08000021,28350.0,32.4,Newcastle upon Tyne,2646,66,54.9738474,-1.6131572
9,E08000022,27296.0,43.4,North Tyneside,2502,27,55.0297994,-1.508256
10,E08000023,25656.0,43.5,South Tyneside,2334,31,54.9698743,-1.4476805
11,E08000024,23743.0,42.2,Sunderland,2018,114,54.9058512,-1.3828727
129,E08000025,26332.0,32.6,Birmingham,4262,501,52.4796992,-1.9026911
130,E08000026,27628.0,32.1,Coventry,3718,106,52.4081812,-1.510477
131,E08000027,25792.0,42.1,Dudley,3273,120,52.5110832,-2.0816813
132,E08000028,23451.0,36.5,Sandwell,3826,139,52.5151278,-2.0135624
133,E08000029,33596.0,43.3,Solihull,1205,82,52.4130189,-1.7768935
134,E08000030,22988.0,38.2,Walsall,2725,136,52.5847949,-1.9822687
135,E08000031,23714.0,37.7,Wolverhampton,3773,142,52.5847651,-2.127567
67,E08000032,25263.0,36.2,Bradford,1466,103,53.7944229,-1.7519186
68,E08000033,25656.0,42.2,Calderdale,577,36,53.7204748,-1.9622886
69,E08000034,25982.0,39.4,Kirklees,1074,85,53.6422635,-1.7809433
70,E08000035,27571.0,35.4,Leeds,1430,133,53.7974185,-1.5437941
71,E08000036,24190.0,41.8,Wakefield,1019,94,53.6829541,-1.4967286
7,E08000037,24462.0,41.3,Gateshead,1423,62,54.9625789,-1.6019294
186,E09000001,56829.0,41.0,City of London,2998,3,51.5156177,-0.0919983
199,E09000002,27104.0,32.3,Barking and Dagenham,5871,95,51.5541171,0.1505043
200,E09000003,37872.0,37.0,Barnet,4520,227,51.65309,-0.2002261
201,E09000004,34243.0,38.8,Bexley,4082,98,51.4416793,0.150488
202,E09000005,30990.0,35.3,Brent,7652,255,50.3332211,-4.5112377
203,E09000006,42970.0,40.6,Bromley,2205,129,51.4028046,0.0148142
185,E09000007,59681.0,33.9,Camden,12035,81,51.5423045,-0.1395604
204,E09000008,34732.0,37.4,Croydon,4455,222,51.3713049,-0.101957
205,E09000009,38361.0,36.7,Ealing,6157,177,51.5126553,-0.3051952
206,E09000010,31556.0,36.1,Enfield,4130,181,53.4308358,-2.9609095
207,E09000011,41664.0,34.7,Greenwich,6046,112,51.4820845,-0.0045417
187,E09000012,34129.0,33.0,Hackney,14681,122,51.5432402,-0.0493621
188,E09000013,52965.0,34.8,Hammersmith and Fulham,11308,87,51.4920377,-0.2236401
189,E09000014,35201.0,35.4,Haringey,9143,153,51.5879298,-0.1054101
208,E09000015,35683.0,38.0,Harrow,4957,197,51.5968271,-0.3373046
209,E09000016,32382.0,39.2,Havering,2295,122,51.5443858,-0.1443071
210,E09000017,30167.0,35.9,Hillingdon,2635,143,51.5425193,-0.4483349
211,E09000018,32699.0,36.0,Hounslow,4837,106,51.4686132,-0.3613471
190,E09000019,53343.0,32.1,Islington,16097,77,51.5384287,-0.0999051
191,E09000020,,39.4,Kensington and Chelsea,12884,74,51.4984804,-0.1990432
212,E09000021,41573.0,37.2,Kingston upon Thames,4709,37,51.4096275,-0.3062621
192,E09000022,42092.0,33.1,Lambeth,12156,141,51.5013012,-0.117287
193,E09000023,35379.0,35.0,Lewisham,8636,152,51.4624325,-0.0101331
213,E09000024,45195.0,37.1,Merton,5480,102,51.4108698,-0.1880971
194,E09000025,28129.0,31.9,Newham,9723,168,51.5299995,0.029318
214,E09000026,34970.0,35.5,Redbridge,5386,157,51.5763203,0.0454097
215,E09000027,58327.0,40.7,Richmond upon Thames,3430,64,51.4405529,-0.3076394
195,E09000028,37769.0,33.4,Southwark,10992,136,51.5029222,-0.103458
216,E09000029,33941.0,39.2,Sutton,4665,74,51.3574644,-0.1736269
196,E09000030,45798.0,31.3,Tower Hamlets,16057,105,51.1288633,1.2986686
217,E09000031,32167.0,34.9,Waltham Forest,7130,116,51.5631866,-0.0288406
197,E09000032,57605.0,33.9,Wandsworth,9528,112,51.4570271,-0.1932607
198,E09000033,77504.0,36.1,Westminster,11883,102,51.5004439,-0.1265398
312,W06000001,24531.0,47.9,Isle of Anglesey,98,2,52.79514,-1.64156
